id,disaster_type,affected_people,location_risk_score,medical_needed,water_needed,food_needed,vulnerable_population,time_elapsed_hours,priority
REQ-10036,tsunami,15,3.31,0,1,1,1,66.7,critical
REQ-10037,flood,30,7.58,0,1,0,0,46.2,critical
REQ-10038,tsunami,197,7.32,0,1,1,1,69.3,critical
REQ-10039,landslide,4,9.64,1,1,1,1,31.4,critical
REQ-10040,earthquake,1,8.01,0,0,1,0,70.0,high
REQ-10041,earthquake,1,6.0,0,0,0,0,47.8,medium
REQ-10042,earthquake,4,4.98,0,0,1,1,67.2,high
REQ-10043,cyclone,4,8.9,0,0,0,0,62.7,medium
REQ-10044,cyclone,1,7.88,0,0,0,0,2.1,medium
REQ-10045,cyclone,2,1.47,0,1,1,0,17.7,medium
REQ-10046,wildfire,2,3.41,0,1,1,0,64.9,high
REQ-10047,cyclone,8,4.13,0,1,1,1,25.9,critical
REQ-10048,wildfire,31,6.01,0,0,1,0,26.1,high
REQ-10049,wildfire,4,2.15,0,1,1,0,10.1,medium
REQ-10050,earthquake,8,2.01,0,1,0,0,69.2,high
REQ-10051,flood,34,7.91,0,0,1,1,22.5,critical
REQ-10052,cyclone,27,4.32,0,0,0,1,47.1,high
REQ-10053,cyclone,12,1.52,0,0,0,0,10.0,low
REQ-10054,tsunami,1,1.83,0,0,0,0,22.0,medium
REQ-10055,cyclone,5,2.78,0,1,1,0,24.0,high
REQ-10056,earthquake,3,6.57,0,1,0,1,55.8,critical
REQ-10057,landslide,3,1.82,0,1,0,1,70.1,high
REQ-10058,earthquake,39,2.82,0,1,0,0,26.8,high
REQ-10059,wildfire,3,9.9,0,1,0,1,21.6,critical
REQ-10060,flood,11,5.64,1,1,1,0,22.8,critical
REQ-10061,tsunami,4,6.36,1,1,0,1,54.2,critical
REQ-10062,flood,3,6.2,0,0,1,0,32.2,medium
REQ-10063,wildfire,11,1.86,0,1,0,1,56.9,high
REQ-10064,cyclone,254,8.93,1,1,1,1,46.9,critical
REQ-10065,tsunami,1,4.24,1,1,0,0,24.9,critical
REQ-10066,tsunami,3,8.47,0,1,0,1,48.1,critical
REQ-10067,landslide,11,6.37,1,1,0,0,20.4,critical
REQ-10068,wildfire,4,5.67,1,1,0,0,13.0,high
REQ-10069,flood,14,9.73,1,0,0,0,14.1,critical
REQ-10070,landslide,26,8.81,0,0,1,0,39.9,high
REQ-10071,landslide,3,4.48,0,1,1,1,50.0,high
REQ-10072,wildfire,3,7.65,1,1,0,0,37.7,critical
REQ-10073,earthquake,4,9.9,0,1,0,0,63.8,high
REQ-10074,tsunami,276,6.07,0,1,1,0,7.9,critical
REQ-10075,landslide,6,3.02,0,0,1,0,1.2,low
REQ-10076,flood,3,8.1,0,0,0,1,5.1,high
REQ-10077,landslide,4,6.55,1,1,0,0,33.7,critical
REQ-10078,earthquake,9,5.54,0,1,1,0,61.8,high
REQ-10079,wildfire,1,3.61,1,1,0,0,66.3,high
REQ-10080,landslide,4,5.0,0,0,1,0,46.4,medium
REQ-10081,cyclone,4,6.3,0,1,1,1,68.2,critical
REQ-10082,flood,43,1.82,0,0,0,0,51.4,high
REQ-10083,wildfire,8,7.59,1,1,0,0,35.7,critical
REQ-10084,flood,4,1.22,1,1,1,0,9.2,critical
REQ-10085,tsunami,267,2.85,0,0,1,1,19.3,critical
REQ-10086,earthquake,24,8.91,0,1,1,0,57.1,critical
REQ-10087,flood,172,6.12,0,0,1,1,16.9,critical
REQ-10088,landslide,32,6.38,1,1,1,0,41.9,critical
REQ-10089,tsunami,14,5.26,0,1,0,1,12.0,critical
REQ-10090,flood,2,8.02,0,1,1,0,39.3,high
REQ-10091,cyclone,39,4.25,0,0,1,1,54.9,critical
REQ-10092,landslide,2,9.5,1,1,0,0,47.2,critical
REQ-10093,wildfire,187,3.19,0,1,0,1,29.8,critical
REQ-10094,landslide,1,2.25,1,1,1,1,47.6,critical
REQ-10095,landslide,4,4.93,1,1,1,0,49.9,critical
REQ-10096,earthquake,3,9.1,0,1,0,0,0.3,high
REQ-10097,landslide,44,8.39,0,0,1,1,47.4,critical
REQ-10098,tsunami,49,9.29,0,1,0,0,71.2,critical
REQ-10099,landslide,1,4.56,1,0,0,1,59.2,critical
REQ-10100,cyclone,17,5.1,0,0,0,0,11.1,medium
REQ-10101,flood,9,6.22,0,0,0,0,27.2,medium
REQ-10102,landslide,3,3.84,0,1,0,1,66.4,high
REQ-10103,earthquake,138,5.59,0,0,1,1,49.9,critical
REQ-10104,earthquake,11,1.4,1,0,0,0,69.4,high
REQ-10105,cyclone,97,8.34,1,1,0,1,69.9,critical
REQ-10106,wildfire,5,6.29,1,0,0,1,2.6,high
REQ-10107,landslide,1,6.96,0,1,1,1,34.5,critical
REQ-10108,cyclone,1,3.35,0,0,0,0,25.5,medium
REQ-10109,tsunami,3,6.0,1,0,1,0,65.7,critical
REQ-10110,earthquake,43,6.79,0,1,1,0,50.1,critical
REQ-10111,tsunami,13,8.52,1,1,1,0,0.7,critical
REQ-10112,earthquake,1,7.05,1,1,0,0,62.6,critical
REQ-10113,flood,3,2.26,1,1,1,0,18.0,critical
REQ-10114,landslide,15,9.25,1,0,1,0,14.0,critical
REQ-10115,cyclone,7,4.62,0,1,1,1,66.1,critical
REQ-10116,wildfire,4,8.57,0,0,0,0,15.5,medium
REQ-10117,earthquake,155,8.32,1,1,0,0,39.6,critical
REQ-10118,flood,13,8.78,0,0,1,0,55.9,high
REQ-10119,earthquake,14,4.96,1,1,0,1,71.0,critical
REQ-10120,flood,5,3.78,1,1,1,1,60.3,critical
REQ-10121,landslide,2,1.4,1,1,1,0,64.3,critical
REQ-10122,wildfire,148,7.9,0,0,1,0,1.6,high
REQ-10123,landslide,9,2.57,1,0,0,0,51.1,high
REQ-10124,flood,2,2.89,1,0,0,0,69.2,high
REQ-10125,flood,4,3.68,1,1,1,0,61.6,critical
REQ-10126,earthquake,15,4.41,1,0,0,0,42.9,critical
REQ-10127,earthquake,1,8.28,0,0,0,1,22.9,high
REQ-10128,earthquake,39,1.14,0,0,1,1,29.3,critical
REQ-10129,landslide,13,5.26,0,0,1,1,59.2,high
REQ-10130,flood,6,5.93,1,0,0,1,59.7,critical
REQ-10131,landslide,10,4.78,0,1,1,0,71.9,high
REQ-10132,tsunami,5,2.79,0,1,0,1,2.6,high
REQ-10133,flood,49,5.89,1,1,1,0,63.7,critical
REQ-10134,earthquake,12,2.95,1,1,1,0,47.3,critical
REQ-10135,flood,1,7.24,1,1,0,0,62.0,critical
REQ-10136,tsunami,202,3.96,0,1,0,1,41.9,critical
REQ-10137,tsunami,7,1.15,0,0,1,1,39.6,high
REQ-10138,earthquake,23,5.13,0,1,1,0,30.0,critical
REQ-10139,earthquake,4,2.0,1,1,0,0,7.1,high
REQ-10140,flood,12,8.0,1,1,0,1,0.6,critical
REQ-10141,flood,31,3.36,0,1,1,1,71.0,critical
REQ-10142,cyclone,113,9.02,0,1,0,0,38.5,critical
REQ-10143,earthquake,1,8.9,0,1,0,1,16.8,critical
REQ-10144,cyclone,8,7.69,0,1,1,0,66.0,high
REQ-10145,wildfire,32,3.4,0,1,1,0,71.3,critical
REQ-10146,landslide,13,5.15,0,0,0,1,34.3,high
REQ-10147,cyclone,151,3.68,0,0,1,0,51.0,critical
REQ-10148,cyclone,3,3.49,0,1,1,1,5.5,high
REQ-10149,wildfire,12,6.67,0,1,1,0,18.0,high
REQ-10150,flood,5,8.89,1,1,0,1,63.1,critical
REQ-10151,earthquake,3,9.79,0,0,1,0,36.6,high
REQ-10152,landslide,10,7.3,0,0,1,1,3.2,high
REQ-10153,flood,8,3.9,0,0,0,1,2.2,medium
REQ-10154,landslide,2,3.12,0,0,1,1,71.2,high
REQ-10155,wildfire,11,1.36,1,0,1,0,61.8,high
REQ-10156,tsunami,4,2.96,0,1,1,0,68.0,high
REQ-10157,cyclone,12,1.68,0,1,0,1,20.3,high
REQ-10158,flood,4,9.94,1,0,1,1,64.1,critical
REQ-10159,cyclone,49,3.66,1,0,0,0,50.7,critical
REQ-10160,wildfire,10,2.34,1,1,1,0,7.6,high
REQ-10161,landslide,248,7.69,1,1,1,1,26.9,critical
REQ-10162,earthquake,14,6.25,0,1,1,0,41.5,critical
REQ-10163,cyclone,1,7.4,0,1,1,1,22.0,critical
REQ-10164,flood,8,7.12,1,1,1,1,14.1,critical
REQ-10165,earthquake,12,1.23,0,1,0,0,36.6,high
REQ-10166,wildfire,16,8.36,0,1,1,0,65.3,high
REQ-10167,landslide,47,8.12,1,1,0,1,25.2,critical
REQ-10168,earthquake,42,1.81,0,1,0,1,56.9,critical
REQ-10169,flood,37,8.03,1,1,1,1,61.9,critical
REQ-10170,landslide,13,9.68,0,1,1,0,16.4,high
REQ-10171,wildfire,286,8.43,1,1,0,0,64.0,critical
REQ-10172,earthquake,208,9.26,1,0,0,0,34.3,critical
REQ-10173,landslide,290,6.09,0,0,1,1,18.4,critical
REQ-10174,earthquake,16,6.52,1,1,1,0,69.3,critical
REQ-10175,earthquake,7,7.86,0,1,0,1,56.2,critical
REQ-10176,cyclone,291,3.5,0,1,0,1,71.2,critical
REQ-10177,wildfire,10,7.26,0,0,1,0,9.4,medium
REQ-10178,tsunami,2,3.37,0,0,0,1,38.5,high
REQ-10179,landslide,12,5.94,1,1,1,1,56.5,critical
REQ-10180,tsunami,4,2.28,1,1,1,1,19.4,critical
REQ-10181,flood,1,9.63,1,1,0,0,53.7,critical
REQ-10182,tsunami,33,6.82,0,0,0,0,21.3,high
REQ-10183,flood,15,1.42,0,1,1,1,46.6,critical
REQ-10184,wildfire,4,1.97,1,1,1,1,58.2,critical
REQ-10185,cyclone,47,7.68,0,1,1,0,12.0,critical
REQ-10186,tsunami,6,7.39,1,0,1,1,5.1,critical
REQ-10187,flood,13,2.71,1,1,0,0,11.8,critical
REQ-10188,wildfire,35,4.0,0,1,1,1,9.5,critical
REQ-10189,flood,7,1.81,0,1,0,0,70.0,medium
REQ-10190,cyclone,9,8.96,0,1,0,0,38.9,high
REQ-10191,cyclone,40,9.22,0,0,0,0,18.4,high
REQ-10192,earthquake,2,9.02,0,0,0,1,31.9,high
REQ-10193,flood,1,3.18,0,1,0,0,55.5,medium
REQ-10194,landslide,1,1.79,0,1,1,1,65.6,high
REQ-10195,tsunami,6,6.98,1,0,1,0,21.2,critical
REQ-10196,wildfire,2,2.75,1,1,1,0,25.7,critical
REQ-10197,wildfire,50,2.68,0,1,1,0,27.6,critical
REQ-10198,tsunami,34,8.64,1,0,0,0,41.4,critical
REQ-10199,cyclone,8,8.25,0,0,1,1,39.9,critical
REQ-10200,earthquake,15,5.03,1,0,0,0,62.7,critical
REQ-10201,tsunami,6,8.36,0,1,1,0,11.7,high
REQ-10202,tsunami,3,8.53,1,0,0,0,57.9,critical
REQ-10203,cyclone,3,7.55,0,1,0,1,22.0,critical
REQ-10204,flood,2,2.44,1,0,0,1,33.5,critical
REQ-10205,landslide,5,4.76,0,0,0,0,48.9,medium
REQ-10206,tsunami,3,4.27,1,0,1,1,3.9,critical
REQ-10207,earthquake,10,6.43,0,1,0,0,20.2,high
REQ-10208,earthquake,133,5.48,1,0,0,1,39.4,critical
REQ-10209,flood,3,1.87,0,1,1,0,22.3,medium
REQ-10210,earthquake,42,2.31,1,0,1,0,19.4,critical
REQ-10211,earthquake,1,1.84,0,1,0,1,66.1,high
REQ-10212,cyclone,11,6.81,0,1,0,0,6.2,high
REQ-10213,tsunami,40,8.02,1,0,0,1,52.6,critical
REQ-10214,wildfire,2,8.24,0,1,0,0,20.9,high
REQ-10215,earthquake,12,2.17,0,1,1,1,48.5,critical
REQ-10216,flood,3,1.55,1,1,1,1,37.5,critical
REQ-10217,flood,1,9.42,0,0,0,0,16.6,medium
REQ-10218,cyclone,16,9.4,0,0,0,0,30.8,high
REQ-10219,wildfire,11,4.83,0,1,0,0,54.7,high
REQ-10220,tsunami,9,2.07,0,0,0,0,65.4,medium
REQ-10221,landslide,4,6.27,0,1,1,0,57.7,high
REQ-10222,earthquake,8,2.03,0,0,0,1,55.2,high
REQ-10223,wildfire,6,8.11,0,1,0,1,45.9,critical
REQ-10224,flood,1,9.62,1,0,0,1,27.2,critical
REQ-10225,tsunami,44,2.55,0,0,0,1,2.7,high
REQ-10226,earthquake,200,9.14,0,1,0,1,51.3,critical
REQ-10227,cyclone,12,1.54,0,0,0,0,0.7,low
REQ-10228,earthquake,65,4.63,0,1,0,0,21.0,critical
REQ-10229,cyclone,271,9.23,0,1,0,0,39.9,critical
REQ-10230,flood,11,2.01,0,0,1,0,0.1,medium
REQ-10231,cyclone,46,2.83,0,1,0,0,16.9,high
REQ-10232,earthquake,3,3.95,0,1,0,0,28.7,medium
REQ-10233,cyclone,10,5.74,1,1,0,1,32.8,critical
REQ-10234,cyclone,30,8.99,0,1,0,1,47.5,critical
REQ-10235,wildfire,5,2.15,0,0,1,0,21.5,low
REQ-10236,landslide,7,2.01,1,1,0,1,42.9,critical
REQ-10237,earthquake,12,8.78,1,1,1,1,58.2,critical
REQ-10238,landslide,2,2.49,0,0,0,0,12.0,low
REQ-10239,cyclone,1,5.21,1,1,0,1,70.0,critical
REQ-10240,earthquake,1,9.7,0,1,0,0,52.0,high
REQ-10241,wildfire,2,2.21,0,0,1,1,43.2,high
REQ-10242,flood,32,7.67,0,0,0,1,22.9,high
REQ-10243,earthquake,23,7.64,0,0,0,0,51.2,high
REQ-10244,tsunami,9,6.5,0,0,1,1,34.2,critical
REQ-10245,cyclone,11,8.74,0,1,1,0,58.6,critical
REQ-10246,cyclone,49,9.0,0,0,0,0,46.9,critical
REQ-10247,tsunami,43,9.34,1,1,1,0,36.9,critical
REQ-10248,flood,7,8.16,1,0,1,1,28.1,critical
REQ-10249,landslide,8,9.01,1,1,1,1,47.2,critical
REQ-10250,landslide,1,4.68,1,1,1,1,65.6,critical
REQ-10251,cyclone,3,9.49,1,0,1,0,60.2,critical
REQ-10252,wildfire,14,6.56,1,1,1,0,66.0,critical
REQ-10253,wildfire,8,8.84,1,1,0,0,46.1,critical
REQ-10254,earthquake,24,5.97,0,0,0,0,28.2,high
REQ-10255,cyclone,4,4.15,0,1,1,1,43.5,critical
REQ-10256,flood,15,3.77,0,0,1,0,25.6,high
REQ-10257,flood,9,2.14,1,1,0,0,1.4,high
REQ-10258,wildfire,12,1.6,0,1,0,0,15.3,medium
REQ-10259,landslide,14,7.43,0,0,0,0,43.2,medium
REQ-10260,flood,1,4.13,0,0,1,0,40.2,medium
REQ-10261,cyclone,2,9.14,1,1,1,1,19.7,critical
REQ-10262,wildfire,270,8.09,0,1,1,1,56.9,critical
REQ-10263,cyclone,25,7.46,0,1,0,0,51.8,critical
REQ-10264,wildfire,42,7.85,0,1,1,1,17.7,critical
REQ-10265,landslide,11,1.65,1,1,0,0,41.1,high
REQ-10266,cyclone,16,6.56,0,1,0,0,56.9,high
REQ-10267,landslide,30,5.72,0,1,1,0,3.0,high
REQ-10268,tsunami,12,1.86,0,1,1,1,54.2,critical
REQ-10269,flood,1,1.13,1,0,1,1,46.2,critical
REQ-10270,earthquake,133,2.4,1,0,1,0,7.6,critical
REQ-10271,flood,49,1.7,1,1,1,1,42.5,critical
REQ-10272,earthquake,35,6.44,1,1,1,0,70.7,critical
REQ-10273,cyclone,287,8.29,1,0,0,0,45.8,critical
REQ-10274,earthquake,3,7.94,1,1,0,0,69.1,critical
REQ-10275,flood,3,5.62,0,1,1,0,27.9,high
REQ-10276,wildfire,2,3.71,1,0,1,1,58.4,critical
REQ-10277,tsunami,7,6.07,0,0,1,1,45.9,critical
REQ-10278,wildfire,11,7.3,1,1,0,0,31.9,critical
REQ-10279,earthquake,10,5.62,0,1,0,0,55.5,high
REQ-10280,cyclone,212,7.76,0,0,1,0,19.6,critical
REQ-10281,wildfire,13,6.93,0,0,0,0,30.1,medium
REQ-10282,landslide,6,7.85,1,1,1,1,11.2,critical
REQ-10283,landslide,4,7.44,1,1,0,0,7.8,high
REQ-10284,flood,17,9.49,0,0,1,1,15.1,critical
REQ-10285,flood,9,5.16,1,1,1,1,45.0,critical
REQ-10286,earthquake,1,3.52,0,1,0,1,41.4,high
REQ-10287,cyclone,273,9.45,0,1,0,0,25.0,critical
REQ-10288,earthquake,28,3.87,1,0,1,0,65.2,critical
REQ-10289,flood,1,4.74,1,0,0,1,60.4,critical
REQ-10290,tsunami,2,1.56,1,0,0,1,11.7,high
REQ-10291,earthquake,205,3.88,0,1,0,0,18.1,critical
REQ-10292,cyclone,12,6.11,0,1,1,1,32.5,critical
REQ-10293,earthquake,2,4.95,1,1,1,0,41.6,critical
REQ-10294,wildfire,46,2.29,0,1,0,0,53.4,high
REQ-10295,cyclone,177,8.84,0,0,0,1,43.7,critical
REQ-10296,cyclone,2,5.97,0,1,0,1,7.9,high
REQ-10297,tsunami,6,2.14,0,0,1,1,52.2,high
REQ-10298,landslide,126,4.53,0,1,1,1,35.2,critical
REQ-10299,tsunami,265,2.27,0,1,1,1,49.2,critical
REQ-10300,wildfire,296,9.85,1,1,1,1,53.8,critical
REQ-10301,cyclone,31,6.34,0,1,1,1,55.8,critical
REQ-10302,cyclone,12,9.73,0,1,1,1,58.9,critical
REQ-10303,flood,53,1.99,1,1,1,1,1.0,critical
REQ-10304,landslide,3,5.1,1,1,0,1,42.0,critical
REQ-10305,flood,49,2.75,1,1,1,0,70.1,critical
REQ-10306,flood,12,1.53,1,1,1,1,32.2,critical
REQ-10307,tsunami,3,1.04,1,0,0,0,25.5,high
REQ-10308,landslide,8,6.09,0,0,0,0,66.5,medium
REQ-10309,flood,93,2.14,1,1,1,0,47.6,critical
REQ-10310,tsunami,7,2.79,1,0,1,0,9.4,high
REQ-10311,wildfire,11,3.68,0,0,1,1,12.3,high
REQ-10312,landslide,100,7.87,0,0,1,0,47.9,critical
REQ-10313,wildfire,6,7.73,0,1,1,1,46.1,critical
REQ-10314,landslide,10,8.63,1,1,0,0,17.3,critical
REQ-10315,earthquake,7,6.42,1,0,1,0,22.9,critical
REQ-10316,earthquake,7,4.31,1,1,1,0,63.5,critical
REQ-10317,flood,20,2.76,0,1,0,0,43.3,high
REQ-10318,tsunami,147,7.8,1,0,0,0,29.3,critical
REQ-10319,flood,5,2.99,0,1,1,1,46.0,critical
REQ-10320,earthquake,3,3.31,1,1,1,0,60.5,critical
REQ-10321,earthquake,28,3.53,1,0,0,0,28.5,critical
REQ-10322,cyclone,83,8.21,0,0,0,0,63.0,critical
REQ-10323,flood,23,8.32,0,0,1,0,43.1,high
REQ-10324,wildfire,7,1.47,0,0,0,1,37.6,medium
REQ-10325,cyclone,10,8.45,0,1,1,1,64.6,critical
REQ-10326,flood,4,6.37,1,1,1,0,28.6,critical
REQ-10327,wildfire,280,5.26,1,1,0,1,10.7,critical
REQ-10328,wildfire,9,8.53,0,1,1,1,24.7,critical
REQ-10329,wildfire,2,2.43,1,1,1,0,49.6,critical
REQ-10330,flood,7,6.74,1,1,1,0,29.9,critical
REQ-10331,tsunami,10,3.46,0,0,0,0,9.4,medium
REQ-10332,wildfire,12,9.41,1,1,0,0,2.4,critical
REQ-10333,landslide,12,6.65,0,0,1,1,22.5,high
REQ-10334,earthquake,6,5.89,1,1,1,0,65.2,critical
REQ-10335,landslide,14,6.87,1,1,1,0,41.7,critical
REQ-10336,cyclone,15,8.3,1,1,1,0,8.2,critical
REQ-10337,cyclone,155,7.56,0,1,1,1,2.6,critical
REQ-10338,cyclone,94,5.69,1,1,1,0,34.4,critical
REQ-10339,earthquake,9,1.18,1,1,1,1,13.3,critical
REQ-10340,cyclone,5,4.84,0,1,1,1,26.8,critical
REQ-10341,wildfire,14,1.83,1,1,0,0,44.6,critical
REQ-10342,wildfire,4,2.5,0,1,1,1,24.4,high
REQ-10343,earthquake,2,1.38,1,0,1,0,35.2,high
REQ-10344,wildfire,44,3.89,0,1,1,0,58.5,critical
REQ-10345,wildfire,4,6.93,0,1,0,1,61.4,high
REQ-10346,landslide,36,2.71,0,0,0,0,15.1,medium
REQ-10347,landslide,10,9.67,0,1,1,0,8.7,high
REQ-10348,tsunami,9,5.75,0,1,0,1,65.5,critical
REQ-10349,tsunami,42,4.05,0,0,0,1,32.4,critical
REQ-10350,landslide,2,7.01,1,1,1,1,55.2,critical
REQ-10351,flood,1,4.15,1,1,0,0,28.8,high
REQ-10352,cyclone,27,3.85,0,1,0,1,58.3,critical
REQ-10353,cyclone,3,6.85,1,1,0,1,18.4,critical
REQ-10354,flood,4,8.3,0,1,0,1,41.8,critical
REQ-10355,earthquake,11,3.77,1,1,0,0,26.0,critical
REQ-10356,earthquake,28,8.18,0,1,0,0,46.7,critical
REQ-10357,flood,8,6.42,0,1,1,1,59.7,critical
REQ-10358,cyclone,12,3.37,0,1,1,0,13.5,high
REQ-10359,flood,4,4.41,0,1,0,0,22.5,medium
REQ-10360,flood,1,1.64,1,1,1,0,65.4,critical
REQ-10361,landslide,14,4.17,1,0,0,1,39.5,critical
REQ-10362,cyclone,9,1.76,1,1,1,1,60.9,critical
REQ-10363,landslide,39,9.2,0,1,1,0,65.2,critical
REQ-10364,tsunami,2,3.73,0,1,0,1,24.4,high
REQ-10365,flood,2,8.2,0,1,0,0,67.3,high
REQ-10366,earthquake,8,9.1,0,1,0,1,37.3,critical
REQ-10367,earthquake,55,7.94,1,0,0,0,58.8,critical
REQ-10368,earthquake,10,9.59,0,1,1,1,32.6,critical
REQ-10369,wildfire,3,1.59,0,1,0,0,21.7,medium
REQ-10370,flood,3,3.41,1,0,1,1,18.2,critical
REQ-10371,flood,82,7.29,1,0,0,0,19.3,critical
REQ-10372,earthquake,10,9.96,0,0,1,1,25.9,critical
REQ-10373,tsunami,10,2.51,0,1,1,1,62.9,critical
REQ-10374,landslide,4,2.52,1,1,1,1,12.1,critical
REQ-10375,tsunami,15,4.75,0,0,0,0,50.1,medium
REQ-10376,flood,29,3.9,0,1,1,1,8.8,critical
REQ-10377,earthquake,8,7.79,1,1,1,0,5.9,critical
REQ-10378,wildfire,12,3.44,0,1,1,1,2.6,high
REQ-10379,earthquake,4,5.23,0,1,1,0,30.8,high
REQ-10380,flood,1,1.3,0,1,0,0,1.6,medium
REQ-10381,cyclone,44,3.3,1,1,1,1,32.4,critical
REQ-10382,tsunami,2,2.01,0,1,1,0,51.8,high
REQ-10383,wildfire,13,3.73,1,1,0,0,6.3,high
REQ-10384,wildfire,20,1.96,1,1,1,1,45.6,critical
REQ-10385,cyclone,2,9.25,0,0,0,1,33.0,high
REQ-10386,wildfire,5,5.66,1,0,1,1,50.9,critical
REQ-10387,tsunami,11,1.58,1,0,0,0,18.9,high
REQ-10388,tsunami,38,1.17,0,1,0,0,39.5,high
REQ-10389,landslide,5,7.93,1,1,1,1,14.5,critical
REQ-10390,flood,9,8.96,0,0,0,0,32.2,high
REQ-10391,cyclone,11,8.27,0,0,1,1,29.1,high
REQ-10392,flood,13,7.92,0,1,1,0,69.2,critical
REQ-10393,cyclone,13,8.43,0,1,0,0,0.4,high
REQ-10394,earthquake,30,5.1,0,0,1,0,61.6,high
REQ-10395,landslide,3,8.38,0,0,1,0,51.4,high
REQ-10396,landslide,19,1.52,0,0,0,1,60.0,high
REQ-10397,wildfire,21,2.38,0,1,1,0,58.9,high
REQ-10398,wildfire,23,4.41,0,1,1,0,44.8,high
REQ-10399,flood,18,8.85,0,0,1,1,56.7,critical
REQ-10400,cyclone,33,3.46,0,0,0,1,34.6,high
REQ-10401,flood,2,2.39,0,0,1,0,50.8,medium
REQ-10402,tsunami,4,8.65,0,1,1,0,23.1,high
REQ-10403,earthquake,5,7.23,0,0,0,1,27.1,high
REQ-10404,earthquake,1,1.61,1,0,0,1,2.1,high
REQ-10405,landslide,4,2.66,0,1,0,1,38.8,high
REQ-10406,tsunami,1,1.31,0,0,0,0,58.3,medium
REQ-10407,earthquake,6,2.58,0,1,0,1,41.3,critical
REQ-10408,cyclone,1,8.98,0,0,1,0,11.1,high
REQ-10409,flood,33,8.75,0,0,1,1,70.3,critical
REQ-10410,earthquake,29,9.59,1,0,1,1,34.4,critical
REQ-10411,earthquake,3,9.25,0,1,0,0,32.1,high
REQ-10412,landslide,4,2.46,0,1,0,0,51.3,medium
REQ-10413,landslide,13,1.39,1,0,0,0,50.4,high
REQ-10414,landslide,25,7.2,0,0,1,0,38.1,high
REQ-10415,tsunami,1,2.28,1,0,0,1,31.2,critical
REQ-10416,flood,11,2.52,1,1,1,1,68.0,critical
REQ-10417,earthquake,2,3.96,0,1,1,1,17.1,critical
REQ-10418,landslide,1,2.44,0,1,1,0,22.2,medium
REQ-10419,wildfire,1,2.56,0,1,1,0,37.7,medium
REQ-10420,tsunami,16,1.23,1,0,0,0,10.7,critical
REQ-10421,tsunami,5,2.76,0,1,0,0,22.2,medium
REQ-10422,cyclone,189,6.5,0,0,1,0,38.6,critical
REQ-10423,earthquake,11,1.11,1,1,1,1,57.8,critical
REQ-10424,earthquake,39,7.69,1,0,0,0,45.2,critical
REQ-10425,tsunami,30,2.8,1,1,1,1,67.6,critical
REQ-10426,landslide,11,9.9,0,1,1,0,56.4,high
REQ-10427,cyclone,3,4.3,0,1,1,0,57.2,high
REQ-10428,tsunami,6,9.43,0,1,0,0,48.7,high
REQ-10429,landslide,4,1.32,0,1,1,0,71.1,medium
REQ-10430,flood,5,1.66,0,1,0,0,26.0,medium
REQ-10431,cyclone,14,4.41,0,0,1,1,18.6,high
REQ-10432,cyclone,4,7.75,1,1,1,0,50.1,critical
